Cook some food
Get all of the salad produce from the refrigerator in the other room and bring it into the kitchen area.  Wash the lettuce and other produce, like carrots, bell peppers and cucumbers.  Get out big blue glass salad bowl.  Assemble salad by chopping veggies.  Sprinkle with olive oil, squeezed fresh lime juice, and soya sauce.  Find a pair of chopsticks in utensils draw.


[Walk] <dining_room> (1)
[Walk] <fridge> (1)
[Open] <fridge> (1)
[Find] <food_vegetable> (1)
[Grab] <food_vegetable> (1)
[Wash] <food_vegetable> (1)
[Find] <bowl> (1)
[Grab] <bowl> (1)
[Find] <knife> (1)
[Grab] <knife> (1)
[Cut] <food_vegetable> (1)
[Walk] <cabinet> (1)
[Open] <cabinet> (1)
